n,l,l_star,is_brauer,g1,g2,g3,g4,g5,g6,t,time_sec
5802120,27,27,True,1,0,3,3,3,3,3,5177.65
6431266,26,26,True,0,3,3,3,3,3,1,14.1763
6431268,27,27,True,0,3,3,3,3,2,2,2201.57
6431272,27,27,True,0,3,3,3,3,1,3,1905.99
6431300,26,26,True,0,3,3,3,2,3,2,13.872
6431304,27,27,True,0,3,3,3,2,2,3,1910.8
6431368,26,26,True,0,3,3,3,1,3,3,13.8244
6431812,26,26,True,0,3,3,2,3,3,2,97.3623
6431816,27,27,True,0,3,3,2,3,2,3,1542
6431880,27,27,True,0,3,3,2,2,3,3,2026.6
6432904,26,26,True,0,3,3,1,3,3,3,92.0896
6440004,26,26,True,0,3,2,3,3,3,2,13.8914
6440008,26,26,True,0,3,2,3,3,2,3,63.8756
6440072,26,26,True,0,3,2,3,2,3,3,13.7739
6441096,26,26,True,0,3,2,2,3,3,3,95.8237
6457480,26,26,True,0,3,1,3,3,3,3,13.4383
6571076,26,26,True,0,2,3,3,3,3,2,7.46804
6571080,26,26,True,0,2,3,3,3,2,3,7.38247
6571144,26,26,True,0,2,3,3,2,3,3,7.29111
6572168,26,26,True,0,2,3,2,3,3,3,8.12903
6588552,26,26,True,0,2,2,3,3,3,3,7.13574
6850696,26,26,True,0,1,3,3,3,3,3,5.58364
8947849,27,27,True,3,3,3,3,3,2,0,158.201
8947850,27,27,True,3,3,3,3,3,1,1,160.009
8947852,27,27,True,3,3,3,3,3,0,2,159.205
8947857,27,27,True,3,3,3,3,2,3,0,181.788
8947858,27,27,True,3,3,3,3,2,2,1,169.703
8947860,27,27,True,3,3,3,3,2,1,2,170.747
8947864,27,27,True,3,3,3,3,2,0,3,169.628
8947874,27,27,True,3,3,3,3,1,3,1,164.727
8947876,27,27,True,3,3,3,3,1,2,2,163.013
8947880,27,27,True,3,3,3,3,1,1,3,175.345
8947908,27,27,True,3,3,3,3,0,3,2,186.828
8947912,27,27,True,3,3,3,3,0,2,3,184.315
8947985,27,27,True,3,3,3,2,3,3,0,172.245
8947986,27,27,True,3,3,3,2,3,2,1,164.831
8947988,27,27,True,3,3,3,2,3,1,2,166.084
8947992,27,27,True,3,3,3,2,3,0,3,162.029
8948002,27,27,True,3,3,3,2,2,3,1,161.929
8948004,27,27,True,3,3,3,2,2,2,2,162.734
8948008,27,27,True,3,3,3,2,2,1,3,161.974
8948036,27,27,True,3,3,3,2,1,3,2,162.053
