wtB,B,shift_t,R,wA,cA,required_f,Kres,status
1,1,0,5,6,3,2,-1,PASS(Kres<0)
1,2,1,6,6,3,2,-1,PASS(Kres<0)
1,4,2,7,6,3,2,-1,PASS(Kres<0)
1,8,3,8,6,3,2,-1,PASS(Kres<0)
2,3,0,6,5,3,2,-1,PASS(Kres<0)
2,6,1,7,5,3,2,-1,PASS(Kres<0)
2,12,2,8,5,3,2,-1,PASS(Kres<0)
2,24,3,9,5,3,2,-1,PASS(Kres<0)
2,5,0,7,5,3,2,-1,PASS(Kres<0)
2,10,1,8,5,3,2,-1,PASS(Kres<0)
2,20,2,9,5,3,2,-1,PASS(Kres<0)
2,40,3,10,5,3,2,-1,PASS(Kres<0)
3,7,0,7,4,2,2,0,PASS
3,14,1,8,4,2,2,0,PASS
3,28,2,9,4,2,2,0,PASS
3,56,3,10,4,2,2,0,PASS
2,9,0,8,5,3,2,-1,PASS(Kres<0)
2,18,1,9,5,3,2,-1,PASS(Kres<0)
2,36,2,10,5,3,2,-1,PASS(Kres<0)
2,72,3,11,5,3,2,-1,PASS(Kres<0)
3,11,0,8,4,2,2,0,PASS
3,22,1,9,4,2,2,0,PASS
3,44,2,10,4,2,2,0,PASS
3,88,3,11,4,2,2,0,PASS
3,13,0,8,4,2,2,0,PASS
3,26,1,9,4,2,2,0,PASS
3,52,2,10,4,2,2,0,PASS
3,104,3,11,4,2,2,0,PASS
4,15,0,8,3,2,2,0,PASS
4,30,1,9,3,2,2,0,PASS
4,60,2,10,3,2,2,0,PASS
4,120,3,11,3,2,2,0,PASS
2,17,0,9,5,3,2,-1,PASS(Kres<0)
2,34,1,10,5,3,2,-1,PASS(Kres<0)
2,68,2,11,5,3,2,-1,PASS(Kres<0)
2,136,3,12,5,3,2,-1,PASS(Kres<0)
3,19,0,9,4,2,2,0,PASS
3,38,1,10,4,2,2,0,PASS
3,76,2,11,4,2,2,0,PASS
3,152,3,12,4,2,2,0,PASS
3,21,0,9,4,2,2,0,PASS
3,42,1,10,4,2,2,0,PASS
3,84,2,11,4,2,2,0,PASS
3,168,3,12,4,2,2,0,PASS
4,23,0,9,3,2,2,0,PASS
4,46,1,10,3,2,2,0,PASS
4,92,2,11,3,2,2,0,PASS
4,184,3,12,3,2,2,0,PASS
3,25,0,9,4,2,2,0,PASS
3,50,1,10,4,2,2,0,PASS
3,100,2,11,4,2,2,0,PASS
3,200,3,12,4,2,2,0,PASS
4,27,0,9,3,2,2,0,PASS
4,54,1,10,3,2,2,0,PASS
4,108,2,11,3,2,2,0,PASS
4,216,3,12,3,2,2,0,PASS
4,29,0,9,3,2,2,0,PASS
4,58,1,10,3,2,2,0,PASS
4,116,2,11,3,2,2,0,PASS
4,232,3,12,3,2,2,0,PASS
5,31,0,9,2,1,2,1,PASS
5,62,1,10,2,1,2,1,PASS
5,124,2,11,2,1,2,1,PASS
5,248,3,12,2,1,2,1,PASS
3,35,0,10,4,2,2,0,PASS
3,70,1,11,4,2,2,0,PASS
3,140,2,12,4,2,2,0,PASS
3,280,3,13,4,2,2,0,PASS
3,37,0,10,4,2,2,0,PASS
3,74,1,11,4,2,2,0,PASS
3,148,2,12,4,2,2,0,PASS
3,296,3,13,4,2,2,0,PASS
4,39,0,10,3,2,2,0,PASS
4,78,1,11,3,2,2,0,PASS
4,156,2,12,3,2,2,0,PASS
4,312,3,13,3,2,2,0,PASS
3,41,0,10,4,2,2,0,PASS
3,82,1,11,4,2,2,0,PASS
3,164,2,12,4,2,2,0,PASS
3,328,3,13,4,2,2,0,PASS
4,43,0,10,3,2,2,0,PASS
4,86,1,11,3,2,2,0,PASS
4,172,2,12,3,2,2,0,PASS
4,344,3,13,3,2,2,0,PASS
4,45,0,10,3,2,2,0,PASS
4,90,1,11,3,2,2,0,PASS
4,180,2,12,3,2,2,0,PASS
4,360,3,13,3,2,2,0,PASS
5,47,0,10,2,1,2,1,PASS
5,94,1,11,2,1,2,1,PASS
5,188,2,12,2,1,2,1,PASS
5,376,3,13,2,1,2,1,PASS
3,49,0,10,4,2,2,0,PASS
3,98,1,11,4,2,2,0,PASS
3,196,2,12,4,2,2,0,PASS
3,392,3,13,4,2,2,0,PASS
4,51,0,10,3,2,2,0,PASS
4,102,1,11,3,2,2,0,PASS
4,204,2,12,3,2,2,0,PASS
4,408,3,13,3,2,2,0,PASS
4,53,0,10,3,2,2,0,PASS
4,106,1,11,3,2,2,0,PASS
4,212,2,12,3,2,2,0,PASS
4,424,3,13,3,2,2,0,PASS
5,55,0,10,2,1,2,1,PASS
5,110,1,11,2,1,2,1,PASS
5,220,2,12,2,1,2,1,PASS
5,440,3,13,2,1,2,1,PASS
4,57,0,10,3,2,2,0,PASS
4,114,1,11,3,2,2,0,PASS
4,228,2,12,3,2,2,0,PASS
4,456,3,13,3,2,2,0,PASS
5,59,0,10,2,1,2,1,PASS
5,118,1,11,2,1,2,1,PASS
5,236,2,12,2,1,2,1,PASS
5,472,3,13,2,1,2,1,PASS
5,61,0,10,2,1,2,1,PASS
5,122,1,11,2,1,2,1,PASS
5,244,2,12,2,1,2,1,PASS
5,488,3,13,2,1,2,1,PASS
6,63,0,10,1,0,2,2,PASS
6,126,1,11,1,0,2,2,PASS
