m,s_floor,k_stop
127,4,0
191,3,1
223,4,0
239,4,0
247,4,0
251,4,0
253,4,0
319,3,0
351,3,0
367,3,0
375,3,0
379,4,0
381,3,0
415,3,0
431,4,0
439,4,0
443,4,0
445,4,0
463,4,0
471,4,0
475,4,0
477,4,0
487,4,0
491,4,0
493,4,0
499,4,0
501,4,0
505,4,0
575,3,0
607,4,0
623,3,0
631,3,0
635,4,0
637,3,0
671,4,0
687,3,0
695,4,0
699,3,0
701,3,1
719,4,0
727,4,0
731,3,0
733,4,0
743,3,1
747,3,0
749,3,0
755,4,0
757,4,0
761,4,0
799,4,0
815,3,0
823,4,0
827,4,0
829,4,0
847,4,0
855,4,0
859,4,0
861,4,0
871,4,0
875,4,0
877,4,0
883,4,0
885,4,0
889,4,0
911,4,0
919,4,0
923,4,0
925,4,0
935,4,0
939,4,0
941,4,0
947,4,0
949,4,0
953,4,0
967,4,0
971,4,0
973,4,0
979,4,0
981,4,0
985,4,0
995,4,0
997,4,0
1001,4,0
1009,4,0
1119,3,0
1135,3,0
1143,3,0
1147,3,0
1149,4,0
1183,4,0
1199,4,0
1207,3,0
1211,4,0
1213,3,0
1231,3,0
1239,3,0
1243,4,0
1245,3,0
1255,3,0
1259,4,0
1261,3,0
1267,4,0
1269,3,0
1273,3,0
1311,3,0
1327,4,0
1335,3,0
1339,4,0
1341,3,0
1359,3,0
1367,4,0
1371,3,0
1373,4,0
1383,4,0
1387,3,0
1389,3,1
1395,4,0
1397,4,0
1401,4,0
1423,4,0
1431,4,0
1435,4,0
1437,4,0
1447,4,0
1451,4,0
1453,4,0
1459,4,0
1461,4,0
1465,3,0
1479,3,1
1483,4,0
1485,3,0
1491,4,0
1493,4,0
1497,4,0
1507,4,0
1509,4,0
1513,4,0
1521,4,0
1583,4,0
1591,4,0
1595,4,0
1597,4,0
1615,3,0
1623,4,0
1627,4,0
1629,4,0
1639,4,0
1643,4,0
1645,4,0
1651,4,0
1653,4,0
1657,4,0
1679,4,0
1687,4,0
1691,4,0
1693,4,0
1703,4,0
1707,4,0
1709,4,0
1715,4,0
1717,4,0
1721,4,0
1735,4,0
1739,4,0
1741,4,0
1747,4,0
1749,4,0
1753,4,0
1763,4,0
1765,4,0
1769,4,0
1777,4,0
1815,4,0
1819,4,0
1821,4,0
1831,4,0
1835,4,0
1837,4,0
1843,4,0
1845,4,0
1849,4,0
1863,4,0
1867,4,0
1869,4,0
1875,4,0
1877,4,0
1881,4,0
1891,4,0
1893,4,0
1897,4,0
1905,4,0
1931,4,0
1933,4,0
1939,4,0
1941,4,0
1945,4,0
1955,4,0
1957,4,0
1961,4,0
1969,4,0
1989,4,0
1993,4,0
2001,4,0
2207,4,0
2223,3,0
2231,3,0
2235,3,0
2237,4,0
2255,3,0
2263,4,0
2267,3,0
2269,4,0
2279,4,0
2283,4,0
2285,3,0
2291,4,0
2293,4,0
2297,4,0
2335,4,0
2351,4,0
2359,4,0
2363,4,0
2365,4,0
2383,4,0
2391,3,0
2395,4,0
2397,3,0
2407,4,0
2411,4,0
2413,3,0
2419,4,0
2421,4,0
2425,3,0
2447,3,0
2455,4,0
2459,4,0
2461,3,0
2471,4,0
2475,3,0
2477,4,0
2483,4,0
2485,4,0
2489,4,0
2503,3,0
2507,3,0
2509,3,0
2515,4,0
2517,3,0
2521,4,0
2531,4,0
2533,3,0
2537,4,0
2545,4,0
2607,3,0
2615,4,0
2619,3,0
2621,4,0
2639,4,0
2647,3,0
2651,4,0
