m,k,n_k,n_k1,s_k,s_k1,plateau,e_k1
191,0,191,382,4,3,1,0
701,0,701,1402,4,3,1,0
743,0,743,1486,4,3,1,0
1389,0,1389,2778,4,3,1,0
1479,0,1479,2958,4,3,1,0
2681,0,2681,5362,4,3,1,0
5337,0,5337,10674,4,3,1,0
5517,0,5517,11034,4,3,1,0
10481,0,10481,20962,4,3,1,0
10649,0,10649,21298,4,3,1,0
20913,0,20913,41826,4,3,1,0
21273,0,21273,42546,4,3,1,0
41777,0,41777,83554,4,3,1,0
51477,0,51477,102954,5,4,1,0
83505,0,83505,167010,4,3,1,0
84107,0,84107,168214,5,4,1,0
90659,0,90659,181318,5,4,1,0
100901,0,100901,201802,5,4,1,0
172581,0,172581,345162,5,4,1,0
332051,0,332051,664102,5,4,1,0
